id,conducted_by,recruitment_source,group,q1,q2,q3,library_exp,self_est_prog_exp,yrs_prog_weekly,yrs_prog,major_occupation,helpful_exp,feedback_improvement,feedback_other,recruitment_source_detail,beautiful_soup,numpy,pandas,matplotlib,pytorch,flask,nltk,time,interface,task1,task2,task3,taskStart1,taskStart2,taskStart3,taskEnd1,taskEnd2,taskEnd3,timesRan1,timesRan2,timesRan3,timesUsed1,timesUsed2,timesUsed3,taskCompletion1,taskCompletion2,taskCompletion3,taskAnswer1,taskAnswer2,taskAnswer3,delete,taskTime1,taskTime2,taskTime3,correct1,correct2,correct3
79,Jacob,xlab,llmtranslation,"Apple, Orange, Pineapple",0 1 2 3 4,1 0 1 0 0,NumPy,5,1,2,Cognitive Science,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.72E+12,llmTranslation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,5,16,4,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 2 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 10 != 0)),
  tf.boolean_mask(x, x % 2 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,830877,783271,331192,FALSE,TRUE,TRUE
80,Laila,xlab,llmtranslation,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Flask,NumPy,Pandas,Matplotlib,TensorFlow,PyTorch",5,4,6,Applied Math and Physics,"Python, Numpy, Pandas","I think the tool was very easy to use, it's a good idea to keep it minimal so no improvements needed there.",,XLAB website,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1.72E+12,llmTranslation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,2,2,1,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,788561,1024649,159162,TRUE,TRUE,TRUE
81,Jacob,xlab,translation,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",8,1,2,Chemical Engineering,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,translation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,22,20,18,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)

","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)

",FALSE,629601,623092,1213265,TRUE,TRUE,TRUE
82,Jacob,xlab,translation,"[""Apple"", ""Orange"", ""Pineapple""]","[0,1,2,3,4]","[1,0,1,0,0]","NumPy,Pandas,Matplotlib",3,<1 year,1,Student; Nuclear Engineering,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,translation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,66,23,21,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 5,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)

","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,1485772,764879,324270,TRUE,TRUE,TRUE
83,Jacob,other,llmtranslation,"[""Apple"", ""Orange"", ""Pineapple""]","[0,1,2,3,4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib,PyTorch",5,1,3,Data science and applied math,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.72E+12,llmTranslation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,6,2,7,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_min(
  tf.math.reduce_max(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=0
  )
)
print(new_x)",FALSE,612022,269344,513161,TRUE,TRUE,FALSE
84,Laila,other,translation,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]",NumPy,3,Less than 1 year,Less than 1 year ago,Intending Computer Science or Data Science,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.72E+12,translation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,7,80,4,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 10 != 0)),
  tf.boolean_mask(x, x % 2 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
  tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant([[1, 2, 3], [101, 102, 103],[11, 12, 13]])
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,732560,2151665,743194,FALSE,TRUE,TRUE
85,Jacob,other,llmtranslation,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",5,2,6,student (data science),,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,llmTranslation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,7,2,1,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
new_x_test = tf.boolean_mask(x, x%5 == 0)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,533721,222942,180334,TRUE,TRUE,TRUE
86,Laila,other,control,"[Ã¢â‚¬Å“AppleÃ¢â‚¬Â, Ã¢â‚¬Å“OrangeÃ¢â‚¬Â, Ã¢â‚¬Å“PineappleÃ¢â‚¬Â]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,NumPy,Pandas,Matplotlib",8,2,4,Computer Science Major,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,11,18,3,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 2 == 0) % 10 == 0,
  tf.boolean_mask(x, x % 5 == 0),
  tf.square(tf.boolean_mask(x, x % 5 == 0))
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,843458,1035916,114755,FALSE,TRUE,TRUE
87,Jacob,other,control,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",7,5,10 or more years ago,"Student, Computer Science major",,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,control,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,9,28,11,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,391162,531414,183225,TRUE,TRUE,TRUE
88,Jacob,xlab,translation,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",7,4,6,"Mechanical Engineering major, CS minor",,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,translation,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,10,9,3,0,0,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.boolean_mask(x, x % 5 == 0),
  tf.square(tf.boolean_mask(x, x % 5 == 0))
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,769192,1101105,515964,TRUE,TRUE,TRUE
89,Jacob,other,canonicalization,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,Flask,Pandas",8,3,5,Computer Science Major,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,2,25,5,11,17,0,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 10 != 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)

# mod 5 -> keep
# not mod 10 -> square

# see if divisible by 5 but not by 10","x = tf.constant([4, 12, 8, 8])
#print(tf.reshape(x, [1, int(x.shape[0]), 1]))
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)

# convert input to be groups of [i, i+1]

# rolling weighted sum of array: window size 2
# weights: 2, 1
# for i, i + 1 in x:
#  new[i] = x[i]*2+(x[i+1])","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,324949,928296,301961,FALSE,TRUE,TRUE
90,Jacob,other,canonicalization,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,PyTorch",6,2,2,"Student, computer science major",,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,5,26,26,6,28,31,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 10 != 0)),
  tf.boolean_mask(x, x % 2 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,284265,1080226,1567279,FALSE,TRUE,TRUE
91,Jacob,other,canonicalization,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",6,4,6,EECS,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,4,19,13,5,3,1,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[12, 22, 32],
  [12, 22, 32],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,680350,1170872,894297,TRUE,TRUE,TRUE
92,Jacob,other,canonicalization,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,NLTK,NumPy,Pandas,Matplotlib",8,3,3,Data Science,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1,3,5,4,9,19,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,238630,459382,761513,TRUE,TRUE,TRUE
93,Laila,other,canonicalization,"[Ã¢â‚¬Å“AppleÃ¢â‚¬Â, Ã¢â‚¬Å“OrangeÃ¢â‚¬Â, Ã¢â‚¬Å“PineappleÃ¢â‚¬Â]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",8,3,3,Economics,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,9,,,14,,,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 2 == 0) % 10 == 0,
  #tf.square(tf.boolean_mask(x, x % 2 == 0)), 
  tf.boolean_mask(x, x % 2 == 0), 
  tf.square(tf.boolean_mask(x, x % 5 == 0))
)
print(new_x)

","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 3 == 1),
    axis=1
  )
)
print(new_x)",FALSE,605062,1808802,1500000,FALSE,TRUE,FALSE
94,Jacob,xlab,canonicalization,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Flask,NumPy,Pandas,Matplotlib",4,3,4,Intended Computer Science,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1,2,1,9,26,22,skipped,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 == 0,
  tf.square(tf.boolean_mask(x, x % 2 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_min(
  tf.math.reduce_max(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,530593,1315383,517409,,TRUE,FALSE
95,Jacob,other,canonicalization,"Apple, Orange, Pineapple","0, 1, 2, 3, 4","1, 0, 1, 0, 0","NumPy,Pandas,Matplotlib,PyTorch",8,2,9,Genetics & Plant Biology + CS,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,2,3,2,4,29,6,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,281267,359060,240713,TRUE,TRUE,TRUE
96,Jacob,other,canonicalization,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Flask,NumPy,Pandas,Matplotlib",7,3,5,Student; Applied Math,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,6,3,5,7,9,4,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([  [[2]],  [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,392034,616253,174121,TRUE,TRUE,TRUE
97,Jacob,other,canonicalization,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","NumPy,Pandas,Matplotlib",7,4,4,EECS,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,15,14,40,17,20,42,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
[[1, 2, 3], 
[101, 102, 103], 
[11, 12, 13]]
)

new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0), #correct
    axis=1
  )
)
print(new_x)
",FALSE,738546,528900,1365889,TRUE,TRUE,TRUE
98,Jacob,xlab,canonicalization,"[""Apple"", ""Orange"", ""Pineapple""]","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Flask,NumPy",7,3,3,Computer Science,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,2,3,2,3,0,0,answered,skipped,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
div_by_5_mask = (x % 5 == 0)
filtered_x = tf.boolean_mask(x,div_by_5_mask)
div_by_10_mask = (filtered_x % 10 == 0)
new_x = tf.where(div_by_10_mask, filtered_x, tf.square(filtered_x))

print(new_x)","x = tf.constant([4, 12, 8, 8])
weights= tf.constant([[2], [1]], dtype=tf.float32)
x_reshaped = tf.reshape(x, [1, -1, 1])
weights_reshaped = tf.reshape(weights, [2, 1, 1])
new_x = tf.nn.conv1d(x_reshaped, filters=weights_reshaped, stride=1, padding='VALID')
new_x = tf.squeeze(new_x)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]])
mask = tf.range(tf.shape(x)[0]) % 2 == 0
selected_sub_arrays = tf.boolean_mask(x, mask)
min_of_each_sub_array = tf.reduce_min(selected_sub_arrays,axis = 1)
new_x = tf.reduce_min(min_of_each_sub_array)
print(new_x)",FALSE,893611,1022181,589748,TRUE,,FALSE
99,Jacob,other,canonicalization,"['Apple', 'Orange', 'Pineapple']","[0, 1, 2, 3, 4]","[1, 0, 1, 0, 0]","Beautiful Soup,NumPy,Pandas,Matplotlib,PyTorch",5,4,7,Majors in Computer Science and Economics,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.72E+12,canonicalization,where,convolve,minmax,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,1.72E+12,3,5,3,6,11,1,answered,answered,answered,"x = tf.constant([5, 2, 20, 15, 32, 100])
new_x = tf.where(
  tf.boolean_mask(x, x % 5 == 0) % 10 != 0,
  tf.square(tf.boolean_mask(x, x % 5 == 0)),
  tf.boolean_mask(x, x % 5 == 0)
)
print(new_x)","x = tf.constant([4, 12, 8, 8])
new_x = tf.squeeze(
  tf.nn.conv1d(
    tf.reshape(x, [1, int(x.shape[0]), 1]),
    tf.constant([[[2]], [[1]]]),
    1,
    'VALID'
  )
)
print(new_x)","x = tf.constant(
  [[1, 2, 3],
  [101, 102, 103],
  [11, 12, 13]]
)
new_x = tf.math.reduce_max(
  tf.math.reduce_min(
    tf.boolean_mask(x, tf.range(len(x)) % 2 == 0),
    axis=1
  )
)
print(new_x)",FALSE,201357,215957,149239,TRUE,TRUE,TRUE
